,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,"81,340",+55,"3,292",+5,"74,588","3,460","1,034",57,2
1,USA,"85,594",+159,"1,300",+5,"1,868","82,426","2,122",259,4
2,Italy,"80,589",,"8,215",,"10,361","62,013","3,612","1,333",136
3,Spain,"57,786",,"4,365",,"7,015","46,406","3,166","1,236",93
4,Germany,"43,938",,267,,"5,673","37,998",23,524,3
5,Iran,"29,406",,"2,234",,"10,457","16,715","2,746",350,27
6,France,"29,155",,"1,696",,"4,948","22,511","3,375",447,26
7,Switzerland,"11,811",,192,,131,"11,488",141,"1,365",22
8,UK,"11,658",,578,,135,"10,945",163,172,9
9,S. Korea,"9,332",+91,139,+8,"4,528","4,665",59,182,3
10,Netherlands,"7,431",,434,,3,"6,994",761,434,25
11,Austria,"6,909",,49,,112,"6,748",96,767,5
12,Belgium,"6,235",,220,,675,"5,340",605,538,19
13,Canada,"4,043",,39,,228,"3,776",120,107,1
14,Turkey,"3,629",,75,,26,"3,528",136,43,0.9
15,Portugal,"3,544",,60,,43,"3,441",61,348,6
16,Norway,"3,372",,14,,6,"3,352",70,622,3
17,Australia,"3,050",,13,,170,"2,867",23,120,0.5
18,Brazil,"2,985",,77,,6,"2,902",296,14,0.4
19,Sweden,"2,840",,77,,16,"2,747",200,281,8
20,Israel,"2,693",,8,,68,"2,617",46,311,0.9
21,Malaysia,"2,031",,24,+1,215,"1,792",45,63,0.7
22,Czechia,"1,925",,9,,10,"1,906",34,180,0.8
23,Denmark,"1,877",,41,,1,"1,835",94,324,7
24,Ireland,"1,819",,19,,5,"1,795",47,368,4
25,Luxembourg,"1,453",,9,,6,"1,438",3,"2,321",14
26,Ecuador,"1,403",,34,,3,"1,366",58,80,2
27,Japan,"1,387",,47,,359,981,57,11,0.4
28,Chile,"1,306",,4,,22,"1,280",7,68,0.2
29,Poland,"1,221",,16,,7,"1,198",3,32,0.4
30,Pakistan,"1,201",,9,,21,"1,171",5,5,0.04
31,Thailand,"1,045",,4,,88,953,4,15,0.06
32,Romania,"1,029",,23,,94,912,29,53,1
33,Saudi Arabia,"1,012",,3,,33,976,6,29,0.09
34,Finland,958,,5,,10,943,24,173,0.9
35,South Africa,927,,,,12,915,2,16,
36,Indonesia,893,,78,,35,780,,3,0.3
37,Greece,892,,27,,36,829,53,86,3
38,Russia,840,,3,,38,799,8,6,0.02
39,Iceland,802,,2,,82,718,11,"2,350",6
40,India,745,+18,20,,66,659,,0.5,0.01
41,Diamond Princess,712,,10,,597,105,15,,
42,Philippines,707,,45,,28,634,1,6,0.4
43,Singapore,683,,2,,172,509,17,117,0.3
44,Panama,674,,9,,2,663,20,156,2
45,Argentina,589,,12,,72,505,,13,0.3
46,Mexico,585,+110,8,+2,4,573,1,5,0.06
47,Peru,580,,9,,14,557,14,18,0.3
48,Slovenia,562,,6,,10,546,14,270,3
49,Qatar,549,,,,43,506,6,191,
50,Estonia,538,,1,,8,529,6,406,0.8
51,Egypt,495,,24,,102,369,,5,0.2
52,Croatia,495,,3,,22,470,14,121,0.7
53,Colombia,491,,6,,8,477,,10,0.1
54,Dominican Republic,488,,10,,3,475,,45,0.9
55,Bahrain,458,,4,,204,250,1,269,2
56,Serbia,457,,7,,15,435,21,52,0.8
57,Hong Kong,454,,4,,110,340,5,61,0.5
58,Iraq,382,,36,,105,241,,9,0.9
59,Lebanon,368,,6,,23,339,3,54,0.9
60,New Zealand,368,,,,37,331,1,76,
61,Algeria,367,,25,,29,313,,8,0.6
62,UAE,333,,2,,52,279,2,34,0.2
63,Lithuania,299,,4,,1,294,1,110,1
64,Armenia,290,,1,,18,271,6,98,0.3
65,Morocco,275,,11,,8,256,1,7,0.3
66,Bulgaria,264,,3,,8,253,8,38,0.4
67,Hungary,261,,10,,28,223,6,27,1
68,Taiwan,252,,2,,29,221,,11,0.08
69,Latvia,244,,,,1,243,,129,
70,Uruguay,238,,,,,238,3,69,
71,Costa Rica,231,,2,,2,227,5,45,0.4
72,Slovakia,226,,,,2,224,2,41,
73,Andorra,224,,3,,1,220,6,"2,899",39
74,Jordan,212,,,,1,211,,21,
75,San Marino,208,,21,,4,183,12,"6,130",619
76,Kuwait,208,,,,49,159,7,49,
77,North Macedonia,201,,3,,3,195,1,96,1
78,Tunisia,197,,5,,2,190,10,17,0.4
79,Ukraine,196,,5,,1,190,,4,0.1
80,Bosnia and Herzegovina,191,,3,,2,186,1,58,0.9
81,Moldova,177,,1,,2,174,28,44,0.2
82,Albania,174,,6,,17,151,3,60,2
83,Vietnam,153,,,,20,133,3,2,
84,Burkina Faso,152,,7,,10,135,,7,0.3
85,Cyprus,146,,3,,4,139,3,121,2
86,Faeroe Islands,140,,,,47,93,,"2,865",
87,Réunion,135,,,,1,134,,151,
88,Malta,134,,,,2,132,1,303,
89,Ghana,132,,4,,1,127,,4,0.1
90,Azerbaijan,122,,3,,15,104,6,12,0.3
91,Kazakhstan,121,+8,1,,2,118,,6,0.05
92,Brunei,114,,,,5,109,1,261,
93,Oman,109,,,,23,86,,21,
94,Venezuela,107,,1,,15,91,2,4,0.04
95,Sri Lanka,106,,,,7,99,3,5,
96,Senegal,105,,,,9,96,,6,
97,Cambodia,98,,,,11,87,1,6,
98,Ivory Coast,96,,,,3,93,,4,
99,Afghanistan,94,,4,,2,88,,2,0.1
100,Cameroon,88,+13,1,,2,85,,3,0.04
101,Palestine,86,,1,,17,68,,17,0.2
102,Belarus,86,,,,29,57,2,9,
103,Mauritius,81,,2,,,79,1,64,2
104,Martinique,81,,1,,,80,12,216,3
105,Georgia,79,,,,11,68,1,20,
106,Uzbekistan,75,,,,,75,4,2,
107,Guadeloupe,73,,1,,,72,4,182,2
108,Montenegro,69,,1,,,68,1,110,2
109,Cuba,67,,2,,1,64,2,6,0.2
110,Honduras,67,,1,,,66,,7,0.1
111,Channel Islands,66,,1,,,65,,380,6
112,Nigeria,65,,1,,3,61,,0.3,0.00
113,Trinidad and Tobago,65,,1,,,64,,46,0.7
114,Bolivia,61,,,,,61,,5,
115,Liechtenstein,56,,,,,56,,"1,469",
116,Paraguay,52,+11,3,,1,48,1,7,0.4
117,DRC,51,,3,,,48,,0.6,0.03
118,Rwanda,50,,,,,50,,4,
119,Bangladesh,48,+4,5,,11,32,1,0.3,0.03
120,Kyrgyzstan,44,,,,,44,,7,
121,Mayotte,36,,,,,36,,132,
122,Gibraltar,35,,,,13,22,,"1,039",
123,Macao,33,,,,10,23,,51,
124,Monaco,33,,,,1,32,,841,
125,Kenya,31,,1,,1,29,,0.6,0.02
126,French Polynesia,30,,,,,30,,107,
127,Aruba,28,,,,1,27,,262,
128,French Guiana,28,,,,6,22,,94,
129,Jamaica,26,,1,,2,23,,9,0.3
130,Guatemala,25,,1,,4,20,,1,0.06
131,Isle of Man,25,,,,,25,,294,
132,Barbados,24,,,,,24,,84,
133,Togo,24,,,,1,23,,3,
134,Madagascar,23,,,,,23,,0.8,
135,Zambia,16,,,,,16,,0.9,
136,Bermuda,15,,,,2,13,,241,
137,New Caledonia,14,,,,,14,,49,
138,Uganda,14,,,,,14,,0.3,
139,El Salvador,13,,,,,13,,2,
140,Maldives,13,,,,8,5,,24,
141,Tanzania,13,,,,,13,,0.2,
142,Equatorial Guinea,12,,,,,12,,9,
143,Ethiopia,12,,,,,12,,0.1,
144,Djibouti,11,,,,,11,,11,
145,Dominica,11,,,,,11,,153,
146,Mongolia,11,,,,,11,,3,
147,Saint Martin,11,,,,,11,,284,
148,Niger,10,,1,,,9,,0.4,0.04
149,Bahamas,9,,,,1,8,,23,
150,Cayman Islands,8,,1,,,7,,122,15
151,Haiti,8,,,,,8,,0.7,
152,Namibia,8,,,,2,6,,3,
153,Suriname,8,,,,,8,,14,
154,Curaçao,7,,1,,2,4,,43,6
155,Gabon,7,,1,,,6,,3,0.4
156,Antigua and Barbuda,7,,,,,7,,71,
157,Grenada,7,,,,,7,,62,
158,Mozambique,7,,,,,7,,0.2,
159,Seychelles,7,,,,,7,,71,
160,Benin,6,,,,,6,,0.5,
161,Eritrea,6,,,,,6,,2,
162,Greenland,6,,,,2,4,,106,
163,Laos,6,,,,,6,,0.8,
164,Eswatini,6,,,,,6,,5,
165,Cabo Verde,5,,1,,,4,,9,2
166,Guyana,5,,1,,,4,,6,1
167,Fiji,5,,,,,5,,6,
168,Montserrat,5,,,,,5,,"1,002",
169,Myanmar,5,,,,,5,,0.09,
170,Syria,5,,,,,5,,0.3,
171,Angola,4,,,,,4,,0.1,
172,Congo,4,,,,,4,,0.7,
173,Guinea,4,,,,,4,,0.3,
174,Vatican City,4,,,,,4,,"4,994",
175,Mali,4,,,,,4,,0.2,
176,Gambia,3,,1,,,2,,1,0.4
177,Sudan,3,,1,,,2,,0.07,0.02
178,Zimbabwe,3,,1,,,2,,0.2,0.07
179,Nepal,3,,,,1,2,,0.1,
180,Bhutan,3,+1,,,,3,,4,
181,CAR,3,,,,,3,,0.6,
182,Chad,3,,,,,3,,0.2,
183,Liberia,3,,,,,3,,0.6,
184,Mauritania,3,,,,,3,,0.6,
185,St. Barth,3,,,,,3,,304,
186,Saint Lucia,3,,,,1,2,,16,
187,Sint Maarten,3,,,,,3,,70,
188,Nicaragua,2,,1,+1,,1,,0.3,0.2
189,Anguilla,2,,,,,2,,133,
190,Belize,2,,,,,2,,5,
191,British Virgin Islands,2,,,,,2,,66,
192,Guinea-Bissau,2,,,,,2,,1,
193,Saint Kitts and Nevis,2,,,,,2,,38,
194,Somalia,2,,,,,2,,0.1,
195,Turks and Caicos,2,,,,,2,,52,
196,Libya,1,,,,,1,,0.1,
197,Papua New Guinea,1,,,,,1,,0.1,
198,St. Vincent Grenadines,1,,,,,1,,9,
199,Timor-Leste,1,,,,,1,,0.8,
200,Total:,"532,279",470,"24,090",22,"124,349","383,840","19,635",68.3,3.1
