,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase
0,USA,"116,050","+11,924","1,937",+241,"3,224","110,889","2,666",351,6,Jan 20
1,Italy,"92,472","+5,974","10,023",+889,"12,384","70,065","3,856","1,529",166,Jan 29
2,Spain,"72,248","+6,529","5,812",+674,"12,285","54,151","4,165","1,545",124,Jan 30
3,Germany,"56,202","+5,331",403,+52,"6,658","49,141","1,581",671,5,Jan 26
4,Iran,"35,408","+3,076","2,517",+139,"11,679","21,212","3,206",422,30,Feb 18
5,France,"32,964",,"1,995",,"5,700","25,269","3,787",505,31,Jan 23
6,UK,"17,089","+2,546","1,019",+260,135,"15,935",163,252,15,Jan 30
7,Switzerland,"13,377",+449,242,+11,"1,530","11,605",280,"1,546",28,Feb 24
8,Netherlands,"9,762","+1,159",639,+93,3,"9,120",761,570,37,Feb 26
9,S. Korea,"9,478",+146,144,+5,"4,811","4,523",59,185,3,Jan 19
10,Belgium,"9,134","+1,850",353,+64,"1,063","7,718",789,788,30,Feb 03
11,Austria,"8,122",+425,68,+10,225,"7,829",128,902,8,Feb 24
12,Turkey,"7,402","+1,704",108,+16,42,"7,252",309,88,1,Mar 09
13,Canada,"5,434",+677,55,,354,"5,025",120,144,1,Jan 24
14,Portugal,"5,170",+902,100,+24,43,"5,027",89,507,10,Mar 01
15,Norway,"3,977",+206,20,+1,7,"3,950",76,734,4,Feb 25
16,Australia,"3,635",+257,14,+1,170,"3,451",23,143,0.5,Jan 24
17,Brazil,"3,477",+60,93,+1,6,"3,378",296,16,0.4,Feb 24
18,Israel,"3,460",+425,12,,89,"3,359",50,400,1,Feb 20
19,Sweden,"3,447",+378,105,,16,"3,326",239,341,10,Jan 30
20,Czechia,"2,541",+262,11,+2,11,"2,519",250,237,1,Feb 29
21,Malaysia,"2,320",+159,27,+1,320,"1,973",54,72,0.8,Jan 24
22,Denmark,"2,201",+155,65,+13,1,"2,135",109,380,11,Feb 26
23,Ireland,"2,121",,22,,5,"2,094",59,430,4,Feb 28
24,Chile,"1,909",+299,6,+1,61,"1,842",7,100,0.3,Mar 02
25,Luxembourg,"1,831",+226,18,+3,40,"1,773",25,"2,925",29,Feb 28
26,Ecuador,"1,823",+196,48,+7,3,"1,772",58,103,3,Feb 28
27,Japan,"1,499",,49,,404,"1,046",56,12,0.4,Jan 14
28,Poland,"1,481",+92,17,+1,7,"1,457",3,39,0.4,Mar 03
29,Romania,"1,452",+160,30,+4,139,"1,283",34,75,2,Feb 25
30,Pakistan,"1,420",+47,12,+1,29,"1,379",7,6,0.05,Feb 25
31,Russia,"1,264",+228,4,,49,"1,211",8,9,0.03,Jan 30
32,Thailand,"1,245",+109,6,+1,97,"1,142",11,18,0.09,Jan 12
33,Saudi Arabia,"1,203",+99,4,+1,37,"1,162",6,35,0.1,Mar 01
34,South Africa,"1,170",,2,,31,"1,137",7,20,0.03,Mar 04
35,Finland,"1,167",+126,9,+2,10,"1,148",32,211,2,Jan 28
36,Indonesia,"1,155",+109,102,+15,59,994,,4,0.4,Mar 01
37,Philippines,"1,075",+272,68,+14,35,972,1,10,0.6,Jan 29
38,Greece,"1,061",+95,32,+4,52,977,66,102,3,Feb 25
39,Iceland,963,+73,2,,114,847,18,"2,822",6,Feb 27
